Unnamed: 0,סוג הנכס,עיר,שכונה,רחוב,חדרים,קומה,מחיר,מטרים,לשוטפים,ריהוט,מעלית,מזגן,חניה,מרפסת,סורגים,ממד,מחסן,משופצת,דוד שמש,חיות מחמד,תאור
426,בית פרטי/קוטג',גדרה יבנה והסביבה,גדרה,דפנה 19,5.0,0,7800,200.0,0,0,0,1,1,1,0,1,1,0,0,0,"קוטג' בשכונה הכי שווה בעיר!
קרוב להכל (קופ""ח, בתי ספר, גני שעשועים, מאפייה, סופרמרקט) אבל ממוקם ברחוב שקט ונעים.
4 חדרי שינה- יחידת הורים ענקית (חדר וחצי), יחידת מתבגר בעליית גג ושני חדרי שינה נוספים.
הבית כנראה יעמוד למכירה לקיץ הבא ולכן מתאים למי שמחפש בית לשנה הקרובה"
427,דירה,רמת גן - גבעתיים,רמת גן,אזור הבילויים,5.0,3,7000,110.0,0,0,1,1,1,0,0,1,0,0,0,0,"להשכרה במיקום מעולה ברחוב עוזיאל צמוד לגבעתיים 
דירת 5 חדרים 110 מטר בקומה 3 גדולה ומרווחת 
במצב מצויין
יחידת הורים מיזוג בחדרים מעלית וחנייה
אין מרפסת 
מיידית 
7000 ש""ח כולל וועד בית
מיידית"
428,דירה,"ראשל""צ והסביבה",ראשון לציון,מישור הנוף,4.0,10,5470,100.0,0,0,1,1,1,0,1,1,0,0,0,0,"להשכרה בשכונת מישור הנוף המבוקשת ,דירת 4 חדרים . נעימה ,גדולה ושקטה.
מזגן מרכזי ,ממ""ד וחניה בטאבו .יחידת הורים עם שירותים ומקלחת נפרדים.
קומה גבוהה . נמצאת במיקום נח ליד גינת שעשועים ,מרכז קניות,מוסדות חינוך,ספריה ,קניון עזריאלי ראשונים ,רכבת וכביש 431"
429,דירה,באר שבע והסביבה,דימונה,יהודה הלוי 4,3.0,2,2250,75.0,0,0,1,1,0,1,1,0,0,1,0,0,"דירת 3 חדרים מוארת ויפה בקומה שנייה עם מעלית. בדירה מיזוג אוויר, מקלחת חדשה. מרפסת שירות מרווחת. האינסטלציה בדירה חדשה לגמרי מהשנה. במטבח יש תנור. מתאימה לזוג, משפחה או יחיד. שכונה טובה ושקטה. קרובה למרכז. מלא חניה. תחבורה מהשכונה לבאר שבע ועוד. כניסה ב-1.8.2023"
430,דירה,נתניה והסביבה,נתניה,נאות הרצל,3.0,3,4700,72.0,0,0,0,1,0,0,1,0,0,1,0,0,"להשכרה ברח' יוספטל 4, דירת 3 חדרים מהממת, בקומה שלישית, 76 מ""ר בארנונה, מרווחת, משופצת מהיסוד ברמה הגבוהה ביותר, 2 שירותים ומקלחת אחת, דלתות פנדור חדשות, אינסטלציה חדשה, ריצוף יוקרתי"
431,יחידת דיור,נתניה והסביבה,נתניה,רמת פולג,2.0,0,3650,45.0,0,1,0,1,0,0,1,0,1,1,0,0,"ברמת פולג יחידת דיור 2 חדרים ,ממוזגת במרתף ( חצי קומה) . כ45 מ""ר,משופצת ומרוהטת. (כריים,מקרר, פינת אוכל ,מיטה זוגית ספה ,מזנון וארון.). המחיר כולל ארנונה ומים. מוטי"
432,דירה,באר שבע והסביבה,באר שבע,שכונה ד,4.0,2,3000,95.0,0,0,0,1,1,0,0,0,0,0,0,0,"מדובר בדירת 4 חדרים (3+סלון), מתאימה לזוג, משפחה או שותפים.
עברה בימים האחרונים ניקיון יסודי. מומלץ להגיע לראות"
433,דירת גן,גליל ועמקים,מעלות תרשיחא,אשחר 4,3.5,1,3200,150.0,0,0,0,1,1,1,0,0,1,1,0,0,"דירת גן מקסימה, מוארת ומשופצת, במיקום מצויין במרכז מעלות. בקירבת בתי כנסת, גנים, מכולת וישיבת ההסדר. שכונה שקטה ויפה, נוף מקסים. חצר מרוצפת גדולה ומרווחת, חנייה צמודה. קומה ראשונה (גרם מדרגות אחד ממפלס הרחוב).
2 חדרי שינה וקליניקה חיצונית יפה ושימושית (כרגע משמשת כמחסן).
כניסה בתחילת אוגוסט"
434,דו משפחתי,גליל ועמקים,כפר תבור,חרוב 8,6.5,0,6800,345.0,0,0,0,1,1,1,0,1,1,0,0,0,בית מתוכנן היטב. במיקום מצויין
435,דירה,רמת גן - גבעתיים,בני ברק,הר שלום,4.0,0,6000,82.0,0,0,1,1,0,0,1,1,0,1,0,0,"דירת 4 חדרים מרווחת ומושקעת
קומת קרקע"
436,דירה,חיפה וחוף הכרמל,חיפה,כרמל מערבי,3.5,1,4200,75.0,0,0,0,1,0,0,1,0,1,0,0,0,"דירת 3.5 חדרים, יפה ומתוחזקת עם חלון גדול צופה לים, שירותים נוספים בחדר הורים, מחסן ושתי חניות לשימוש דיירי הבניין. גינה מטופחת, שכנים נחמדים ובעלי בית מקסימים. מרכז מסחרי קטן וגן משחקים במרחק הליכה. מוכנות לתאריך כניסה גמיש"
437,דירה,פרדס חנה - כרכור,חריש,יקינטון 8,5.0,3,4000,120.0,0,0,1,1,1,1,0,1,1,1,0,0,"השכרה, דירה, קומה 3, חריש"
438,דירה,רמלה - לוד,רמלה,קריית מנחם בגין,5.0,1,5500,128.0,0,0,1,1,1,1,0,1,0,1,0,0,"מפרטי.
דירת 5 חדרים ברח' לסקוב 7 בפרויקט החדש של רם אדרת בשכונת ""נווה דורון החדשה"".
קומה ב', 128 מ""ר + מרפסת שמש 11 מ""ר
עורפית ופונה לגן קרמר
שני כיורים במטבח (חלבי ובשרי)
3 חדרי שירותים עם אסלות תלויות
מקלחון ואמבטיון שניהם עם זכוכית בטיחותית ועבה 8 מ""מ
מטבח משודרג עם המון מקום לאיחסון ולמעלה מ3 מטר קלפות , מזגן חסכוני מיני מרכזי VRF, רשתות בכל החלונות.
נדרש: ערבות בנקאית ושני ערבים"
439,דירה,באר שבע והסביבה,באר שבע,נווה זאב,3.5,8,3100,70.0,0,0,1,1,1,0,1,0,0,1,0,0,"להשכרה דירה משופצת 3.5 חדרים ללא תיווך !!!
קומה 8 מתוך 9 עם מעלית. מזגנים בכל חדר, מטבח חדש!!!
בקרבת מרכז חנויות של נווה זאב, בתי ספר וגני ילדים . אזור שקט, חניות רבות. 
דירה מרווחת ומוארת מאוד!
בקרבת מרכז חנויות, בתי ספר וגני ילדים .
כניסה מיידית !"
440,דירה,רמת גן - גבעתיים,גבעתיים,קריית יוסף,4.5,2,6600,125.0,0,0,0,1,0,0,0,0,0,0,0,0,"דירת 4.5 חדרים ענקית, חדרים גדולים ומרווחים, מרפסת סגורה. 
ברחוב המון מסעדות וברים הכל מאוד נגיש. מתאימה למשפחה ולשלושה שותפים"
441,יחידת דיור,גדרה יבנה והסביבה,יבנה,"נאות שז""ר",2.0,0,3500,40.0,0,0,0,1,0,0,0,0,0,0,0,0,"השכרה, יחידת דיור 2 חדרים ענקית שווה ביותר"
442,דירה,רעננה - כפר סבא,רעננה,"רמב""ם 21",4.0,2,6200,100.0,0,0,0,1,1,1,0,0,0,0,0,0,"הדירה חזיתית מרווחת ויש בה 2 מקלחות + שרותי אורחים + חדר ארונות,"
443,דירה,זכרון - בנימינה,בנימינה גבעת עדה,החיטה 9,3.5,2,6400,135.0,0,0,0,1,0,1,1,0,0,0,0,0,"*המחיר כולל הכל (ארנונה, חשמל, מים, אינטרנט, הוט).
דירה מיוחדת במינה. קומה שניה של בית פרטי, כניסה נפרדת (בעלת הדירה המקסימה מתגוררת בקומה הראשונה). הדירה עצמה 70 מ""ר, 3.5 חדרים כולל חדר ארונות + מרפסת מדהימה (60 מ""ר) ועוד מרפסת קטנה. 
מקום שקט ונעים, יחד עם זאת, מרחק קצר מכביש 4 ו 20 דק' הליכה לרכבת. 
מתאימה לזוג (ללא ילדים) או לאישה, בלבד. ללא בע""ח"
444,דירה,תל אביב,תל אביב יפו,הצפון הישן החלק הצפוני,3.0,1,10000,60.0,0,0,0,1,0,0,0,0,0,1,0,0,"דירת 3 חדרים עורפית שקטה (טריפל גלאס ) מעוצבת אדריכלית  שופצה לפני כשנה!
מיקום מעולה דיזינגוף /בזל  
פרקט בכל הדירה חדרי שינה מרווחים ומאורים מוקפת צמחיה 

מפרטי ללא תיווך !!!
מחפשת דיירים לטווח ארוך"
445,דירה,ירושלים והסביבה,ירושלים,בר יוחאי 3,2.0,4,3100,50.0,0,0,0,1,0,1,0,0,0,1,0,0,"המבנה שופץ לאחרונה באופן יסודי על ידי עיריית ירושלים. הבניין נמצא במיקום מעולה- קרוב לכל דבר: איזור תעשיה, חנויות, קניון מלחה, תחנת הרכבת וגם לא רחוק יחסית ממרכז העיר. יש שתי כיווני אוויר ונוף מדהים מהחלון. המקום מתאים לזוגות צעירים. מבקש לשלוח הודעות בWATSAPP"
446,דירה,באר שבע והסביבה,שדרות,הרב אבא אבוחצירה 9,5.0,6,3800,139.0,0,0,1,1,1,1,0,1,0,0,0,0,"להשכרה ברחוב אבא אבוחצירא 9 קומה 6

דירת חמישה חדרים חדשה

3 שירותים , אמבטיה, מקלחון, חנייה פרטית,

דירה מרווחת ונוחה, 125 מ""ר + 14 מ""ר מרפסת 

נוף לעיר !

דירה נקיה ומטופחת סביבת מגורים צעירה, גרו בנכס 6 חודשים בלבד 

כניסה מיידית , החוזה עד אוקטובר 3,800 ויש אפשרות להאריך חוזה מול בעל הדירה"
447,בית פרטי/קוטג',באר שבע והסביבה,עומר,רותם 2,4.5,0,6200,940.0,0,0,0,1,1,1,1,0,0,0,0,0,"לחיות בעומר ולהרגיש בכפר.
בית כפרי בעומר על מגרש ענק של כמעט דונם.
בגינה עצי פרי מניבים ומדשאה גדולה.
הבית מואר ומכיל חללים גדולים למטבח והסלון.
במיקום הכי שווה בעומר הוותיקה מרחק הליכה מהמרכז, קופת חולים ובית הספר"
448,דירה,קריות,קרית ביאליק,מרכז העיר,4.0,2,4000,100.0,0,0,0,1,1,0,1,0,1,1,0,0,"לגור בעיר להרגיש בכפר. דירת 4 חדרים קומה 2 עם נוף פתוח לשדות. יחידת הורים עם מקלחת, שירותים וחדר ארונות. מטבח וסלון ענקיים. מזגנים חדשים בכל הבית. תלת פאזי, פרקט בחדרים, חניה ומחסן"
449,בית פרטי/קוטג',בקעת אונו,גבעת שמואל,גיורא,3.5,0,5500,80.0,0,1,0,1,0,0,0,1,0,1,0,0,"להשכרה דירת 3.5 חדרים משופצת ברחוב יהודה הלוי בגבעת שמואל, דירה מרוהטת כולל 2 מזגנים, ארונות בחדרים,  מקרר, תנור וכיריים.
מחיר 5500 ש""ח, לכניסה מיידית אין הוצאות לועד בית
ללא תיווך
"
450,דירה,עכו - נהריה,נהריה,דולב 1,5.0,1,4900,126.0,0,0,1,1,1,1,1,1,1,1,1,0,"להשכרה דירת 5 חדרים חדשה מהקבלן בקומה 1 (על עמודים) מתוך 9 ברחוב דולב 8.
פירוט החדרים: סלון+מטבח, חדר הורים עם חדר שירותימקלחת נפרד, 3 חדרי שינה (אחד מהם ממ""ד), חדר שירותימקלחת עם חדר שירות, חדר שירותים ומרפסת.
חניה לא מקורה, מחסן, דוד שמש, נקודת גז במרפסת, מזגנים וסורגים שקופים  בכל החדרים"
451,דירה,ירושלים והסביבה,ירושלים,עיר גנים,2.0,0,4100,70.0,0,0,0,0,0,0,0,0,0,0,0,0,"דירת 2 חדרים גדולים 60 מ', דירה חדשה לגמרי, 2 כניסות לדירה, מקום שקט מאוד, המחיר כולל מים, מתאים לזוג צעיר"
452,יחידת דיור,עמק יזרעאל,קרית טבעון,יערה 46,2.5,0,4500,330.0,0,0,0,1,1,1,0,0,1,1,0,0,"בפינת חמד, מתאים לזוג/ יחיד - ללא הגבלת זמן.  
הנכס טבול בירק וצופה אל הוואדי והיער.
בעל חצר עם תאורה סביבית וירוקה.
הנכס שמור במצב מצויין, קיימת אמבטיה,  
נשאר בדירה: ארון גדול בחדר השינה, ספה תלת מושבית בסלון ושולחן סלוני, שולחן בפינת המחשב, ארון מזווה במטבח, פינת אוכל עם כיסאות.
שכ""ד כולל תשלום ארנונה, חיבור אינטרנטי וממיר לטלוויזיה.
המחיר לא כולל מים וחשמל (ישנו מונה)"
453,דירה,"ראשל""צ והסביבה",ראשון לציון,נחלת יהודה,2.0,0,3550,40.0,0,0,0,1,0,0,0,0,0,0,0,0,"בנחלת יהודה יחידת דיור 2 חדרים, כ 40 מר, מושקעת ויפהפייה , מוארת, שקטה. מיקום מעולה, אזור שקט עם קרבה לכבישים ראשיים . חניה בשפע ברחוב. כולל ארנונה אינטרנט וכבלים של הוט. לא למעשנים וללא בעלי חיים"
454,דירה,רמת גן - גבעתיים,רמת גן,יד לבנים,3.0,1,5400,70.0,0,0,0,1,0,0,0,0,0,0,0,0,"ניתן לתאם לראות את הדירה החל מ- 4/6
דירת 3 חדרים, שני חדרי שינה וסלון פתוח עם מטבח. חדר ארונות קטן.
מזגן מיני מרכזי, כיריים בילד אין.
תאריך כניסה- 20/7 (אולי ניתן כמה ימים לפני)
קיים מגרש חניה ציבורי מאחורי הבניין וחניה ברחוב כחול לבן"
455,יחידת דיור,מושבים במרכז,בית נחמיה,דרך החרצית 48,3.0,1,5500,200.0,0,0,0,1,1,1,0,0,0,1,0,0,"בית בכפר
נמצא בחצר המשק,אווירה כפרית, מתחת לסככה מקורה.
הבית תחום ומגודר ויש חצר גדולה ומרווחת.
מתאים לזוגות וליחידים"
456,דירה,חולון - בת ים,חולון,נאות רחל,3.0,1,4700,72.0,0,0,0,1,1,0,0,0,0,1,1,0,"דירת 3 חדרים יפה, ללא תיווך, בשכונת נאות רחל, משופצת, ממוזגת, קומה ראשונה על עמודים, דוד שמש, חניה מקורה, לטווח ארוך, 4700 ש""ח לחודש"
457,דירה,יישובי השומרון,אריאל,עיר היונה 6,4.0,2,5300,120.0,1,0,0,1,1,1,0,1,0,0,1,0,"דירה מרווחת ,מוארת, 3 כיווני אוויר , בת 4 חדרים כמו 4.5 , יש 2 מרפסות שמש , מזגן  , דוד שמש, חניה כפולה , קומה 2 לא על העמודים , דירה במצב טוב , משופצת ושמורה. מחיר טיפה גמיש .לא לשותפים"
458,דירה,חדרה וישובי עמק חפר,חדרה,גבעת אולגה,2.0,2,2500,42.0,0,0,0,1,0,0,0,0,0,1,0,0,"דירה מקסימה ומרווחת, מאוד מוארת ומאווררת עם בריזה מהים. 
2 חדרים פלוס חדר שירות קטן. מרחק 2 דקות הליכה מהחוף. כל הקודם זוכה כניסה ב 10.7"
459,דירה,פרדס חנה - כרכור,חריש,שוהם 48,4.0,3,3400,115.0,0,0,1,1,1,1,0,1,1,0,0,0,"בשכונת מדורגי חריש המבוקשת, נמצאת ממש בכניסה לחריש כך שהיציאה מהעיר די פשוטה גם בשעות הבוקר. קניון מור במרחק הליכה.
הדירה מוארת באור טבעי ברוב שעות היום ובריזה נעימה כשיושבים במרפסת. הנוף מהפרפסת הוא נוף טבעי יפיפה.
4 חדרים כולל יחידת הורים, 2 מקלחות, 3 שירותים, ממ״ד, מחסן בקומת המחסנים וחניה שמורה.
יש בדירה אנרגיות מעולות ואתם מוזמנים להרגיש אותן בעצמכם(:
"
460,דירה,תל אביב,תל אביב יפו,הצפון הישן החלק הדרום מערבי,3.0,4,8300,60.0,0,0,1,1,0,0,0,1,0,0,0,0,"להשכרה *לא מתיווך*
דירת 3 חדרים ברחוב בן יהודה פינת בן גוריון- מיקום מושלם בלב הצפון הישן!?
עורפית, שקטה ומוארת מאוד״?
קומה רביעית, עם מעלית. 
ללא חניה (אין בעיה להוציא תו אזורי).
מזגן מרכזי, ממ""ד, דוד חשמל ובמרחק הליכה מהים? מושלמת לזוג / שותפים.
לא מרוהטת.

כניסה מיידית
חשבונות סטנדרטיים
חוזה לטווח קצר (שנה)
ניתן לראות בתיאום מראש?"
461,דירה,חולון - בת ים,חולון,שכונת עם,2.0,2,4500,70.0,0,0,0,1,0,0,0,0,0,1,0,0,"דירה להשכרה 2 חדרים 
חלל משותף גדול 
משופצת ברמה גבוהה 
2 מזגנים 
ומאורר תיקרה מטבח חדש הרבה מקום איכסון 

מיקום מעולה נוף פתוח לצפון כניסה מידית ללא תיווך (מתווכים נא לא התקשר)
מתאימה ליחידים או זוגות 
 יצירת קשר בהודעה בלבד בוואטסאפ
מפרט הנכס"
462,דירה,קיסריה והסביבה,אור עקיבא,מור 1,3.0,4,4000,83.0,0,0,1,1,1,1,0,1,1,0,0,0,"באור ים חדשה מקבלן. שני שירותים, מרפסת חנייה ומחסן. בכיוון צפון מזרח עם נוף פתוח. מזגן אינוונטר בכל חדר. כניסה מיידית"
463,דירה,באר שבע והסביבה,באר שבע,שכונה ה,3.0,2,2500,75.0,1,1,0,0,0,0,1,0,0,0,0,0,"דירת 3 חדרים להשכרה במצב מצוין,משופצת,75 מר' .שכונה ה', רחוב יהודי סוריה, מרוהטת קומפלט, מתאימה למשפחה או לשותפים. במרחק הליכה לגראנד.קומה 2 מתוך 4. עדיפות לטווח ארוך. כניסה מיידית"
464,דירה,אשדוד - אשקלון,אשקלון,נווה ים,3.0,3,3000,70.0,0,1,0,1,0,0,0,0,0,1,0,0,"דירה להשכרה ברחוב שפירא 12 שכונת נווה ים המבוקשת באשקלון מתפנה לדיירים.
דירת 3 חדרים ומתוכם 2 חדרי שינה מרוהטת קומפלט קומה 3 מתוך 4 רק לארוז מלתחה ולהיכנס"
465,יחידת דיור,חדרה וישובי עמק חפר,חדרה,בית אליעזר,2.0,1,3000,35.0,0,0,0,1,1,0,0,0,0,1,0,0,"דירת 2 חדרים מאווררת וממוזגת באיזור שקט ונעים , חניה בשפע , ממוקמת קרוב מאוד לכל היציאות מהעיר המחיר כולל מים ומיסים"
466,דירה,תל אביב,תל אביב יפו,נוה שאנן,2.0,1,4200,35.0,0,0,1,1,0,1,0,0,0,1,0,0,"דירת 2 חדרים, 35 מ""ר + מרפסת שמש, עם קירות מסך בסלון. בבנין חדיש ומתוחזק בן כ-8 שנים, עם מעלית. מטבח ואמבטיה חדשים לחלוטין. מתאימה ליחיד או לזוג"
467,דירה,נס ציונה - רחובות,רחובות,אפריים;סלע,4.0,1,5600,110.0,0,0,1,1,1,1,0,1,0,0,0,0,"להשכרה דירת 4 חדרים  ברחובות
ברח' יעקב תמרי 12 
110 מ""ר + מרפסת שמש 16 מ""ר
מטבח משודרג
מיזוג מרכזי בכול הדירה
חניה מקורה
כניסה באוגוסט 2023
5600 ש""ח לחודש
"
468,דירה,באר שבע והסביבה,באר שבע,נווה זאב,3.0,1,2700,85.0,0,1,1,1,0,0,1,0,0,0,0,0,"להשכרה ללא תיווך !!
שכונת נווה זאב, רחוב יעקב פיכמן 4 .
דירת 3 חדרים כולל חדר שירות וממד קומתי. 
קומה ראשונה עם מעלית.   
מזגנים.
ריהוט חלקי. 
בקרבת מרכז חנויות של נווה זאב, בתי ספר וגני ילדים .
אזור שקט, בניין מתוחזק , חניות בשפע.
דירה מרווחת ומוארת מאוד 
כניסה מיידית
"
469,דירה,רמת גן - גבעתיים,רמת גן,מרכז העיר ג',5.0,2,8500,140.0,0,1,1,1,1,0,1,0,0,1,0,0,"דירת 5 חדרים מדהימה, כ-140 מ״ר, פונה לרחוב שרת היוקרתי, 3 חדרי שרותים, 2 חדרי רחצה כולל מקלחת בחדר הורים ושרותים בכניסה. סלון גדול עם חדר אוכל ומטבח מרווחים, משופצת ושמורה עם מזגנים וחימום, חניה פרטית, השכרה עם או בלי ריהוט. פינוי גמיש, ללא תיווך בבקשה"
470,יחידת דיור,מושבים בשפלה,יד נתן,המייסדים 52,2.0,0,3000,30.0,0,0,0,1,1,1,1,0,0,1,0,0,שקט.פרטיות
471,דירה,"ראשל""צ והסביבה",ראשון לציון,"רמב""ם",4.0,1,5400,100.0,0,0,1,1,1,0,0,0,0,0,0,0,"דירת 4 חדרים ,מרווחת  100 מ""ר ,ממוזגת עם מטבח חדש 
להשכרה לטווח ארוך"
472,דירה,חולון - בת ים,חולון,ג'סי כהן,3.5,4,4200,93.0,0,0,0,0,1,0,0,0,0,0,0,0,"דירת 3.5 חדרים ענקיים (90 ומשהו מטר) ברחוב ארבע ארצות בחולון; קומה 4 בלי מעלית, 4200 ש""ח (גמיש!!) - ללא תיווך!!
דירת 3.5 חדרים (מחולקת אש) 
ארנונה בערך 700 ש""ח, ועד 100 ש""ח 
כניסה עד ה20/06 (אפשר גם לפני)
יש חניון ענק מתחת לבניין ככה שאף פעם אין בעיית חניה"
473,יחידת דיור,מושבים בשפלה,גני יוחנן,הצבעוני 134,2.0,0,3800,70.0,0,0,0,1,1,1,0,1,0,0,0,0,"השכרה, יחידת דיור, קומה 35, גני יוחנן"
474,דירה,אשדוד - אשקלון,גן יבנה,"ש""י עגנון 1",3.0,2,5300,130.0,0,0,1,0,1,1,0,1,1,0,0,0,"דירה חדשה מקבלן
הדירה כוללת 2 מרפסות
אחת 30 מטר
ועוד אחת 10 מטר
מחסן גדול מאד בקומת הלובי
מעלית
שירותי אורחים
ושירותים ומקלחת ביחד
דירה חדשה
לא גרו בה 
כניסה מיידית"
475,בית פרטי/קוטג',מושבים בשרון,בית יהושע,יהלום 1,3.0,0,6000,60.0,0,0,0,1,1,1,1,0,0,0,0,0,בית מקסים עם מרפסת מקורה גדולה. ללא כלבים
476,דירה,יישובי השומרון,עלי זהב,אלה 6,5.0,3,5300,165.0,0,0,1,1,1,1,0,1,0,0,0,0,"בלשם בגבעה המערבית ! דירת 5 חדרים חדשה (שנתיים) גדולה ומרווחת. 135 מ""ר ברחוב האלה. בנין של 6 משפחות, 2 דיירים בקומה. פינוי מיידי. קומה 3 מתוך 3. גינה 30 מ""ר+ מרפסת 19 מ""ר לנוף מדהים. יחידת הורים. מזגנים. ממ""ד"
477,דירה,חולון - בת ים,בת ים,מרכז,2.5,1,5500,70.0,0,0,1,1,0,0,0,0,0,1,0,0,"דירת 2.5 חדרים משופצת לטווח ארוך. בלפור 66 בין ז״בוטינסקי לשדרות העצמאות, עורפית ושקטה. קומה ראשונה יש מעלית. לא בשבת"
478,דירה,באר שבע והסביבה,נתיבות,אריק איינשטיין 6,5.0,9,3500,144.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירת 5 חדרים מקסימה וחדשה מקבלן (לא גרו בה) בשכונת נווה-שרון החדשה (רחוב יהושע אזולאי 6). רמת גימור גבוהה. צמודה לגנים ובית-ספר.
פונה לכיוון דרום ומערב. רשתות בחלונות בכל הבית.
קיים אזור ייעודי לפינת אוכל. 
כיור כפול (כשר) במטבח.
מרפסת גדולה ומרווחת (18 מ""ר) פונה לנוף.
מחסן צמוד לדירה (6 מ""ר). 
חניה תת-קרקעית גדולה.
לובי קומתי מפוצל ל-2 חלקים - 2 דירות בכל צד (סה""כ 4 דירות בקומה)"
479,דירה,בית שמש והסביבה,בית שמש,רב אבדימי 1,4.0,2,4500,110.0,0,0,1,1,1,1,1,1,1,1,0,0,"? דירה מיוחדת להשכרה! ?
ברמה ד4 קרוב מאוד לד3 מרחק הליכה!
בפרויקט היוקרתי אבני דרך
דירת 4 חדרים 110 מטר פינתית ומאווררת ביותר .
?מטבח מושקע מאוד -  לא מהקבלן!
?מיזוג
?סורגים 
?מרפסת סוכה מלאה
?יחידת הורים
?חניה פרטית
ללא תיווך כלל.
כניסה: ב 15/06
"
480,דירה,גדרה יבנה והסביבה,גדרה,הנשיא 17,3.0,0,3700,85.0,0,0,0,1,1,1,0,0,0,1,0,0,דירה מרווחת 85 מטר
481,דירה,באר שבע והסביבה,שדרות,נאות אשכול,3.0,0,2400,70.0,0,1,0,1,0,0,0,1,0,0,0,0,"להשכרה ללא תיווך ?
ברחוב ברית ערים, קרוב לשוק ולמרכז העיר.

?״דירת 3 חדרים (חדר סלון וממ""ד)
?״קומת קרקע, 0 מדרגות
?״מטבח חדש 
?״ממוזגת
?״כניסה מיידית
?״אפשרות לריהוט חלקי"
482,דירה,נתניה והסביבה,נתניה,מרכז העיר,4.0,4,5200,100.0,0,0,1,1,0,0,0,0,1,0,0,0,"להשכרה דירה 4 חדרים במרכז העיר,כווני אוויר טובים,אזור מצויין"
483,דירה,ירושלים והסביבה,ירושלים,רסקו(גבעת הורדים),5.0,1,11500,120.0,0,1,1,1,1,0,0,0,0,0,0,0,"דירת 5 חדרים מרוהטת, מרווחת ושטופת שמש.
ארבעה חדרי שינה, סלון וחדר אוכל מוארים, 3 שירותים (2 מקלחות), מרפסת שירות. 

קומה ראשונה. מעלית שבת. חניה.

דירה שקטה במיקום מצוין. 3 דקות הליכה מהמרכז המסחרי השכונתי.

"
484,דירה,קיסריה והסביבה,אור עקיבא,אילות השדה 1,5.0,3,5300,146.0,0,0,1,1,1,1,0,1,1,0,0,0,"משכירים את הפנינה שלנו דירת 5 חדרים מושקעת וגדולה חדשה מקבלן בשכונה חדשה, רבע שעה מהים (!!) ללא תיווך והיא יכולה להיות שלכם 

מרפסת 14 מ""ר, עם 3 כיווני אוויר ונוף מרהיב לשקיעות ??
קומה 3 - קומה טובה בין נוף לשקט מהסביבה.
יחידת הורים גדולה עם מקלחת ושירותים
שתי חניות מקורות צמודות למעליות
מטבח גדול!
מחסן ומיזוג מושקע
שני חדרי מקלחת+שירותי אורחים
מחיר הוגן לרציניים בפרטי
כניסה, החל מסוף יוני"
485,דירה,באר שבע והסביבה,קרית גת,הקוממיות,3.5,4,2000,76.0,0,0,0,1,1,0,0,0,0,0,0,0,"דירת 3.5 חדרים מוארת מאוד, 3 כיווני אאויר, בנין טוב שכנים מקסימים, הדירה ממוקמת לייד מרכז קניות, בית כנסת, ותחבורה ציבורית, ללא תיווך"
486,דירה,רמת גן - גבעתיים,גבעתיים,ארלוזרוב,4.0,2,6900,102.0,0,0,0,1,0,1,1,0,0,1,0,0,"פרטי, ללא תיווך - דירת 4 חדרים מרווחת ומאווררת (102 מ""ר), ברחוב הראל השקט. 
סלון + מרפסת מקורה, 3 חדרי שינה, 2 מרפסות מקורות סגורות, ארון קיר גדול, מטבח מרווח, מרפסת שירות, מיזוג אוויר מלא, יציאה לחצר, חניה חינם בשפע ברחוב ובמגרש כורכר ליד הבית. 
מתפנה ב- 15.7, ניתן גם להקדים ל-1/7. זמינה לטווח ארוך, שכ""ד 6900.
החוזה לשנה + אופציה להארכה"
487,דירה,קיסריה והסביבה,אור עקיבא,השולמית 11,4.0,6,4550,120.0,0,0,1,1,1,1,0,1,1,0,0,0,"דירה חדשה מקבלן, מטבח משודרג, יחידת הורית ענקית, קרבה למסגרות חינוכיות, פונה לטיילת, נוף פתוח מערבי נצחי!
קרבה ליציאה לקיסריה/כבישים 2 ו-4
מתאימה לטווח ארוך"
488,דירה,זכרון - בנימינה,זכרון יעקב,יאיר 1,2.0,10,1950,38.0,0,0,1,1,1,1,0,0,0,1,0,0,"דירה שמורה ומשופצת חוות הברון קומה 10, נוף מרהיב לים"
489,דירה,תל אביב,תל אביב יפו,הצפון הישן החלק הצפוני,3.0,2,9900,63.0,0,0,1,1,0,0,0,0,0,1,0,0,"דירת 3 חדרים, יפה ונעימה בצפון הישן של ת""א. במרחק הליכה מנחל הירקון, לנמל תל אביב, אבן גבירול ודיזנגוף, בתי ספר וגני ילדים"
490,סאבלט,זכרון - בנימינה,אביאל,השקד 1,5.0,0,8000,500.0,0,0,0,1,1,1,0,1,1,1,0,0,"בית מפנק עם חצר קסומה ליער, שקט , ציפורים , הרבה ירוק, ומרחק הליכה למעין אביאל. 4/8-4/9"
491,דירת גן,קריות,קרית ים,קרית ים ג,5.0,1,4550,145.0,0,0,0,1,0,0,0,0,1,1,0,0,"בית 5 חדרים משופצת כולל גינה
קרוב לתחבורה וחנויות 
מטבח כשר"
